name,type,health,cooldown,damage,cost,seed_recharge,sun_prod,atk_mode,range_front,range_back,range_side,instant,slow_duration,freeze_duration,cooldown2
peashooter,1,300,1.5,20,100,5,0,0,-1,0,0,0,0,0,0
sunflower,2,300,24,0,50,5,50,-1,0,0,0,0,0,0,0
wallnut,3,4000,0,0,50,20,0,-1,0,0,0,0,0,0,0
cherrybomb,4,10000,0.6,1800,150,25,0,1,2,2,1,2,0,0,0
potatomine,5,300,15,1800,25,20,0,1,1,1,0,1,0,0,0
snowpea,6,300,1.5,20,175,5,0,0,-1,0,0,0,10,0,0
chomper,7,300,17,1800,150,5,0,0,2,0,0,0,0,0,0
repeater,8,300,0.75,20,200,5,0,0,-1,0,0,0,0,0,0
puffshroom,9,300,1.5,20,0,5,0,0,4,0,0,0,0,0,20
sunshroom,10,300,34,0,25,5,25,-1,0,0,0,0,0,0,18
fumeshroom,11,300,1.5,20,125,5,0,1,5,0,0,0,0,0,0
scaredy,13,300,1.5,20,25,5,0,0,-1,0,0,0,0,0,0
iceshroom,14,10000,0.6,20,125,25,0,1,-1,-1,-1,2,16,3.25,0
